PO_ID,PO_Date,Invoice_Date,Payment_Date,Category,Item_Description,Supplier_Name,Business_Unit,Quantity,Unit_Price,Total_Cost,Contract_Flag,PO_Year,PO_Month,PO_Quarter
PO-00001,2023-04-25,2023-05-02,2023-05-11,Raw Materials,Raw Materials - Item 323,SteelCore Industries,Marketing,35,647.85,22674.75,N,2023,4,Q2
PO-00002,2023-08-27,2023-09-06,2023-09-11,Logistics,Logistics - Item 814,MechSupply Ltd,Marketing,27,2033.05,54892.35,N,2023,8,Q3
PO-00003,2024-03-08,2024-03-14,2024-04-08,MRO,MRO - Item 847,MechSupply Ltd,Finance,7,552.71,3868.97,Y,2024,3,Q1
PO-00004,2024-04-15,2024-04-22,2024-05-12,Logistics,Logistics - Item 146,FreightMaster Inc,HR,40,6921.0,276840.0,N,2024,4,Q2
PO-00005,2023-08-22,2023-09-07,2023-09-29,Professional Services,Professional Services - Item 314,FinanceWise Advisory,Supply Chain,30,12547.23,376416.9,Y,2023,8,Q3
PO-00006,2023-10-01,2023-10-13,2023-11-25,Professional Services,Professional Services - Item 801,Apex Consulting Group,Sales,16,4107.33,65717.28,Y,2023,10,Q4
PO-00007,2023-11-29,2023-12-14,2024-01-19,Facilities,Facilities - Item 317,BuildRight Maintenance,Operations,18,316.07,5689.26,Y,2023,11,Q4
PO-00008,2024-05-26,2024-06-12,2024-07-07,MRO,MRO - Item 470,ProParts Inc,Finance,36,872.6,31413.6,Y,2024,5,Q2
PO-00009,2023-08-13,2023-08-20,2023-09-24,Marketing,Marketing - Item 494,MediaEdge Solutions,Marketing,10,10040.35,100403.5,N,2023,8,Q3
PO-00010,2024-01-26,2024-02-08,2024-03-15,IT & Software,IT & Software - Item 887,CloudTech Systems,HR,44,10470.93,460720.92,N,2024,1,Q1
PO-00011,2023-12-15,2023-12-23,2024-01-31,Raw Materials,Raw Materials - Item 991,AlphaMetals Ltd,R&D,17,5813.14,98823.38,N,2023,12,Q4
PO-00012,2023-11-02,2023-11-17,2023-12-25,Facilities,Facilities - Item 600,BuildRight Maintenance,IT,50,3007.33,150366.5,Y,2023,11,Q4
PO-00013,2023-01-20,2023-02-09,2023-02-09,Raw Materials,Raw Materials - Item 935,NorthStar Composites,Supply Chain,16,4809.05,76944.8,Y,2023,1,Q1
PO-00014,2023-03-12,2023-03-23,2023-04-23,Marketing,Marketing - Item 652,BrandBoost Agency,Sales,11,4429.93,48729.23,N,2023,3,Q1
PO-00015,2023-07-25,2023-07-30,2023-08-30,Professional Services,Professional Services - Item 702,LegalEdge Associates,IT,29,2702.13,78361.77,N,2023,7,Q3
PO-00016,2023-08-24,2023-09-06,2023-09-23,IT & Software,IT & Software - Item 785,MediaEdge Solutions,Operations,3,9443.08,28329.24,Y,2023,8,Q3
PO-00017,2024-05-12,2024-05-30,2024-06-02,Raw Materials,Raw Materials - Item 462,NorthStar Composites,HR,31,3823.61,118531.91,Y,2024,5,Q2
PO-00018,2024-03-09,2024-03-21,2024-03-30,Logistics,Logistics - Item 296,SwiftLogistics Group,Sales,4,3994.17,15976.68,N,2024,3,Q1
PO-00019,2023-07-14,2023-07-22,2023-09-02,Logistics,Logistics - Item 151,SwiftLogistics Group,IT,5,4141.89,20709.45,N,2023,7,Q3
PO-00020,2023-01-16,2023-02-02,2023-02-10,Marketing,Marketing - Item 102,CreativeWorks Inc,Operations,14,14042.92,196600.88,Y,2023,1,Q1
PO-00021,2024-02-04,2024-02-18,2024-03-02,MRO,MRO - Item 322,ProParts Inc,IT,36,1007.02,36252.72,N,2024,2,Q1
PO-00022,2023-03-01,2023-03-08,2023-03-19,IT & Software,IT & Software - Item 971,SoftEdge Inc,Operations,33,11109.44,366611.52,Y,2023,3,Q1
PO-00023,2023-07-10,2023-07-17,2023-09-02,Raw Materials,Raw Materials - Item 529,EastCoast Polymers,IT,37,1407.96,52094.52,N,2023,7,Q3
PO-00024,2024-06-19,2024-06-26,2024-07-24,MRO,MRO - Item 109,ToolMaster Supply,Finance,9,982.99,8846.91,Y,2024,6,Q2
PO-00025,2024-04-14,2024-04-30,2024-05-14,IT & Software,IT & Software - Item 391,CloudTech Systems,HR,9,14380.24,129422.16,Y,2024,4,Q2
PO-00026,2023-06-11,2023-06-19,2023-07-15,Logistics,Logistics - Item 999,FreightMaster Inc,R&D,34,383.08,13024.72,N,2023,6,Q2
