PO_ID,PO_Date,Invoice_Date,Payment_Date,Category,Item_Description,Supplier_Name,Business_Unit,Quantity,Unit_Price,Total_Cost,Contract_Flag,PO_Year,PO_Month,PO_Quarter,Payment_Cycle_Days,Is_Maverick,Year_Month,Calculated_Cost,Cost_Discrepancy
PO-00001,2023-04-25,2023-05-02,2023-05-11,Raw Materials,Raw Materials - Item 323,Steelcore Industries,Marketing,35,647.85,22674.75,N,2023,4,Q2,16,1,2023-04,22674.75,0.0
PO-00002,2023-08-27,2023-09-06,2023-09-11,Logistics,Logistics - Item 814,Mechsupply Ltd,Marketing,27,2033.05,54892.35,N,2023,8,Q3,15,1,2023-08,54892.35,0.0
PO-00003,2024-03-08,2024-03-14,2024-04-08,MRO,MRO - Item 847,Mechsupply Ltd,Finance,7,552.71,3868.97,Y,2024,3,Q1,31,0,2024-03,3868.9700000000003,4.547473508864641e-13
PO-00004,2024-04-15,2024-04-22,2024-05-12,Logistics,Logistics - Item 146,Freightmaster Inc,HR,40,6921.0,276840.0,N,2024,4,Q2,27,1,2024-04,276840.0,0.0
PO-00005,2023-08-22,2023-09-07,2023-09-29,Professional Services,Professional Services - Item 314,Financewise Advisory,Supply Chain,30,12547.23,376416.9,Y,2023,8,Q3,38,0,2023-08,376416.89999999997,5.820766091346741e-11
PO-00006,2023-10-01,2023-10-13,2023-11-25,Professional Services,Professional Services - Item 801,Apex Consulting Group,Sales,16,4107.33,65717.28,Y,2023,10,Q4,55,0,2023-10,65717.28,0.0
PO-00007,2023-11-29,2023-12-14,2024-01-19,Facilities,Facilities - Item 317,Buildright Maintenance,Operations,18,316.07,5689.26,Y,2023,11,Q4,51,0,2023-11,5689.26,0.0
PO-00008,2024-05-26,2024-06-12,2024-07-07,MRO,MRO - Item 470,Proparts Inc,Finance,36,872.6,31413.6,Y,2024,5,Q2,42,0,2024-05,31413.600000000002,3.637978807091713e-12
PO-00009,2023-08-13,2023-08-20,2023-09-24,Marketing,Marketing - Item 494,Mediaedge Solutions,Marketing,10,10040.35,100403.5,N,2023,8,Q3,42,1,2023-08,100403.5,0.0
PO-00010,2024-01-26,2024-02-08,2024-03-15,IT & Software,IT & Software - Item 887,Cloudtech Systems,HR,44,10470.93,460720.92,N,2024,1,Q1,49,1,2024-01,460720.92000000004,5.820766091346741e-11
PO-00011,2023-12-15,2023-12-23,2024-01-31,Raw Materials,Raw Materials - Item 991,Alphametals Ltd,R&D,17,5813.14,98823.38,N,2023,12,Q4,47,1,2023-12,98823.38,0.0
PO-00012,2023-11-02,2023-11-17,2023-12-25,Facilities,Facilities - Item 600,Buildright Maintenance,IT,50,3007.33,150366.5,Y,2023,11,Q4,53,0,2023-11,150366.5,0.0
PO-00013,2023-01-20,2023-02-09,2023-02-09,Raw Materials,Raw Materials - Item 935,Northstar Composites,Supply Chain,16,4809.05,76944.8,Y,2023,1,Q1,20,0,2023-01,76944.8,0.0
PO-00014,2023-03-12,2023-03-23,2023-04-23,Marketing,Marketing - Item 652,Brandboost Agency,Sales,11,4429.93,48729.23,N,2023,3,Q1,42,1,2023-03,48729.23,0.0
PO-00015,2023-07-25,2023-07-30,2023-08-30,Professional Services,Professional Services - Item 702,Legaledge Associates,IT,29,2702.13,78361.77,N,2023,7,Q3,36,1,2023-07,78361.77,0.0
PO-00016,2023-08-24,2023-09-06,2023-09-23,IT & Software,IT & Software - Item 785,Mediaedge Solutions,Operations,3,9443.08,28329.24,Y,2023,8,Q3,30,0,2023-08,28329.239999999998,3.637978807091713e-12
PO-00017,2024-05-12,2024-05-30,2024-06-02,Raw Materials,Raw Materials - Item 462,Northstar Composites,HR,31,3823.61,118531.91,Y,2024,5,Q2,21,0,2024-05,118531.91,0.0
PO-00018,2024-03-09,2024-03-21,2024-03-30,Logistics,Logistics - Item 296,Swiftlogistics Group,Sales,4,3994.17,15976.68,N,2024,3,Q1,21,1,2024-03,15976.68,0.0
PO-00019,2023-07-14,2023-07-22,2023-09-02,Logistics,Logistics - Item 151,Swiftlogistics Group,IT,5,4141.89,20709.45,N,2023,7,Q3,50,1,2023-07,20709.45,0.0
PO-00020,2023-01-16,2023-02-02,2023-02-10,Marketing,Marketing - Item 102,Creativeworks Inc,Operations,14,14042.92,196600.88,Y,2023,1,Q1,25,0,2023-01,196600.88,0.0
PO-00021,2024-02-04,2024-02-18,2024-03-02,MRO,MRO - Item 322,Proparts Inc,IT,36,1007.02,36252.72,N,2024,2,Q1,27,1,2024-02,36252.72,0.0
PO-00022,2023-03-01,2023-03-08,2023-03-19,IT & Software,IT & Software - Item 971,Softedge Inc,Operations,33,11109.44,366611.52,Y,2023,3,Q1,18,0,2023-03,366611.52,0.0
PO-00023,2023-07-10,2023-07-17,2023-09-02,Raw Materials,Raw Materials - Item 529,Eastcoast Polymers,IT,37,1407.96,52094.52,N,2023,7,Q3,54,1,2023-07,52094.520000000004,7.275957614183426e-12
PO-00024,2024-06-19,2024-06-26,2024-07-24,MRO,MRO - Item 109,Toolmaster Supply,Finance,9,982.99,8846.91,Y,2024,6,Q2,35,0,2024-06,8846.91,0.0
PO-00025,2024-04-14,2024-04-30,2024-05-14,IT & Software,IT & Software - Item 391,Cloudtech Systems,HR,9,14380.24,129422.16,Y,2024,4,Q2,30,0,2024-04,129422.16,0.0
PO-00026,2023-06-11,2023-06-19,2023-07-15,Logistics,Logistics - Item 999,Freightmaster Inc,R&D,34,383.08,13024.72,N,2023,6,Q2,34,1,2023-06,13024.72,0.0
PO-00027,2023-05-18,2023-05-31,2023-07-12,MRO,MRO - Item 617,Safeguard Equipment,Operations,14,1025.89,14362.46,Y,2023,5,Q2,55,0,2023-05,14362.460000000001,1.8189894035458565e-12
PO-00028,2024-05-15,2024-05-28,2024-07-09,MRO,MRO - Item 265,Fasttrack Mro,Sales,3,58.13,174.39,N,2024,5,Q2,55,1,2024-05,174.39000000000001,2.842170943040401e-14
PO-00029,2024-03-28,2024-04-06,2024-05-19,Logistics,Logistics - Item 540,Swiftlogistics Group,Operations,10,5695.05,56950.5,N,2024,3,Q1,52,1,2024-03,56950.5,0.0
PO-00030,2023-05-11,2023-05-27,2023-06-01,Raw Materials,Raw Materials - Item 898,Northstar Composites,R&D,23,1147.84,26400.32,Y,2023,5,Q2,21,0,2023-05,26400.32,0.0
PO-00031,2024-02-21,2024-03-10,2024-03-28,Marketing,Marketing - Item 921,Creativeworks Inc,Operations,12,11986.12,143833.44,Y,2024,2,Q1,36,0,2024-02,143833.44,0.0
PO-00032,2023-09-12,2023-09-26,2023-10-19,MRO,MRO - Item 940,Fasttrack Mro,Supply Chain,15,367.78,5516.7,N,2023,9,Q3,37,1,2023-09,5516.7,0.0
PO-00033,2023-08-22,2023-09-06,2023-10-01,MRO,MRO - Item 128,Industrial Direct,Finance,50,467.6,23380.0,Y,2023,8,Q3,40,0,2023-08,23380.0,0.0
PO-00034,2023-04-29,2023-05-17,2023-06-03,Facilities,Facilities - Item 720,Cleanpro Services,R&D,39,1422.41,55473.99,Y,2023,4,Q2,35,0,2023-04,55473.990000000005,7.275957614183426e-12
PO-00035,2024-06-07,2024-06-18,2024-08-03,Raw Materials,Raw Materials - Item 472,Steelcore Industries,Operations,34,5801.49,197250.66,Y,2024,6,Q2,57,0,2024-06,197250.66,0.0
PO-00036,2024-03-17,2024-04-04,2024-05-13,Raw Materials,Raw Materials - Item 434,Alphametals Ltd,Finance,47,5448.36,256072.92,Y,2024,3,Q1,57,0,2024-03,256072.91999999998,2.9103830456733704e-11
PO-00037,2024-02-17,2024-03-05,2024-03-22,IT & Software,IT & Software - Item 661,Cloudtech Systems,Sales,48,13102.79,628933.92,Y,2024,2,Q1,34,0,2024-02,628933.92,0.0
PO-00038,2023-01-01,2023-01-11,2023-02-15,MRO,MRO - Item 774,Safeguard Equipment,Sales,29,651.56,18895.24,Y,2023,1,Q1,45,0,2023-01,18895.239999999998,3.637978807091713e-12
PO-00039,2023-03-28,2023-04-06,2023-04-24,MRO,MRO - Item 125,Toolmaster Supply,Operations,16,969.07,15505.12,N,2023,3,Q1,27,1,2023-03,15505.12,0.0
PO-00040,2023-02-17,2023-03-09,2023-03-28,MRO,MRO - Item 509,Precisionparts Co,Operations,41,923.36,37857.76,Y,2023,2,Q1,39,0,2023-02,37857.76,0.0
PO-00041,2023-09-07,2023-09-26,2023-11-05,Raw Materials,Raw Materials - Item 151,Eastcoast Polymers,Supply Chain,50,2095.45,104772.5,N,2023,9,Q3,59,1,2023-09,104772.49999999999,1.4551915228366852e-11
PO-00042,2023-09-13,2023-10-01,2023-10-26,Office Supplies,Office Supplies - Item 950,Officeworld Ltd,IT,36,328.93,11841.48,Y,2023,9,Q3,43,0,2023-09,11841.48,0.0
PO-00043,2024-04-01,2024-04-13,2024-05-17,Facilities,Facilities - Item 381,Cleanpro Services,Finance,41,954.42,39131.22,Y,2024,4,Q2,46,0,2024-04,39131.22,0.0
PO-00044,2024-03-26,2024-04-06,2024-04-19,Raw Materials,Raw Materials - Item 165,Alphametals Ltd,Finance,9,1098.47,9886.23,Y,2024,3,Q1,24,0,2024-03,9886.23,0.0
